Ages,Gender,Height,Weight,Activity Level,Dietary Preference,Daily Calorie Target,Breakfast Suggestion,Lunch Suggestion,Dinner Suggestion,Snack Suggestion
22,Female,168,55,Lightly Active,Vegan,1500,Tofu and vegetable scramble with whole-wheat toast,Lentil stew with brown rice,Vegan pasta with marinara sauce and vegetables,Fruit salad
55,Male,178,85,Sedentary,Omnivore,2000,Greek yogurt with granola and fruit,Tuna salad sandwich on whole-wheat bread with a side salad,Chicken and vegetable stir-fry with brown rice,Trail mix
48,Female,172,78,Moderately Active,Vegan,1800,Oatmeal with fruit and nuts,Lentil soup with whole-wheat bread,Tofu and vegetable stir-fry with brown rice,Popcorn with nutritional yeast
25,Male,180,85,Moderately Active,Omnivore,2200,Greek yogurt with berries and granola,Chicken breast salad with mixed greens and avocado,Salmon with roasted vegetables,Apple with almond butter
38,Female,165,68,Lightly Active,Vegetarian,1800,Tofu scramble with vegetables and whole wheat toast,Lentil soup with whole wheat bread,Vegetable stir-fry with brown rice,Mixed nuts and dried fruit
55,Male,175,95,Sedentary,Vegan,1800,Tofu scramble with vegetables and whole wheat toast,Lentil soup with whole wheat bread,Vegetable stir-fry with brown rice,Mixed nuts and dried fruit
62,Female,160,70,Lightly Active,Vegan,1500,Overnight oats with chia seeds and fruit,Black bean burger on a whole wheat bun with salad,Lentil stew with brown rice,Fruit and vegetable salad
28,Male,190,90,Very Active,Omnivore,3000,Scrambled eggs with whole wheat toast and avocado,Chicken breast with quinoa and vegetables,Steak with sweet potato and broccoli,Protein bar
40,Female,170,75,Moderately Active,Vegetarian,2200,Tofu scramble with vegetables and whole wheat toast,Lentil soup with whole wheat bread,Vegetable stir-fry with brown rice,Mixed nuts and dried fruit
58,Male,170,80,Sedentary,Vegan,1600,Overnight oats with chia seeds and fruit,Black bean burger on a whole wheat bun with salad,Lentil stew with brown rice,Fruit and vegetable salad
65,Female,155,65,Lightly Active,Omnivore,1500,Greek yogurt with berries and granola,Chicken breast salad with mixed greens and avocado,Salmon with roasted vegetables,Apple with almond butter
32,Male,185,100,Very Active,Omnivore,3200,Scrambled eggs with whole wheat toast and avocado,Chicken breast with quinoa and vegetables,Steak with sweet potato and broccoli,Protein bar
45,Female,168,72,Moderately Active,Vegan,1700,Overnight oats with chia seeds and fruit,Black bean burger on a whole wheat bun with salad,Lentil stew with brown rice,Fruit and vegetable salad
25,Male,180,80,Moderately Active,Omnivore,2200,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Greek yogurt with fruit
32,Female,165,65,Sedentary,Vegetarian,2000,Tofu scramble with vegetables,Lentil soup with whole-grain bread,Chickpea pasta with tomato sauce,Trail mix
48,Male,175,95,Very Active,Vegan,2800,Tofu breakfast burrito with avocado,Black bean burger on a whole-grain bun,Tempeh stir-fry with brown rice,Mixed nuts and dried fruit
55,Female,160,70,Lightly Active,Omnivore,1800,Greek yogurt with granola and fruit,Tuna salad sandwich on whole-grain bread,Chicken stir-fry with brown rice,Fruit and nuts
28,Male,190,100,Moderately Active,Omnivore,3000,Scrambled eggs with whole-wheat toast,Chicken breast with brown rice and vegetables,Steak with sweet potato and green beans,Protein shake
62,Female,155,55,Sedentary,Vegan,1600,Tofu scramble with vegetables,Lentil soup with whole-grain bread,Vegan chili with brown rice,Fruit and vegetables
35,Male,170,75,Very Active,Vegetarian,2400,Oatmeal with fruit and nuts,Quinoa salad with vegetables,Bean burrito with brown rice,Trail mix
22,Female,168,58,Lightly Active,Omnivore,2200,Greek yogurt with fruit and granola,Chicken breast with brown rice and vegetables,Salmon with roasted vegetables,Protein bar
58,Male,178,85,Moderately Active,Vegan,2000,Tofu scramble with vegetables,Lentil soup with whole-grain bread,Vegan chili with brown rice,Fruit and vegetables
40,Female,172,78,Sedentary,Omnivore,1800,Greek yogurt with granola and fruit,Tuna salad sandwich on whole-grain bread,Chicken stir-fry with brown rice,Fruit and nuts
25,Male,180,85,Moderately Active,Omnivore,2200,Oatmeal with berries and nuts,Grilled chicken salad with whole grain bread,Salmon with roasted vegetables,Greek yogurt with fruit and granola
32,Female,165,60,Lightly Active,Vegetarian,1800,Tofu scramble with avocado toast,Quinoa bowl with roasted vegetables and chickpeas,Lentil soup with whole grain bread,Apple with almond butter
55,Male,175,90,Sedentary,Omnivore,2000,Scrambled eggs with whole grain toast,Chicken breast with brown rice and steamed vegetables,Lentil stew with whole grain bread,Fruit salad with Greek yogurt
28,Female,170,70,Very Active,Vegan,2400,Tofu and vegetable stir-fry,Chickpea and vegetable curry with brown rice,Lentil and vegetable soup with whole grain bread,Trail mix with nuts and seeds
62,Female,160,65,Lightly Active,Vegan,1600,Overnight oats with berries and chia seeds,Black bean burger on a whole wheat bun with salad,Lentil stew with vegetables and brown rice,Fruit with almond butter
38,Male,185,95,Moderately Active,Omnivore,2800,Protein smoothie with fruit and spinach,Chicken breast with sweet potato and broccoli,Steak with roasted vegetables,Protein bar
21,Female,168,55,Very Active,Vegan,2000,Tofu scramble with vegetables and avocado toast,Chickpea pasta with vegetable sauce,Bean and vegetable stir-fry with brown rice,Fruit with nuts and seeds
40,Male,190,110,Sedentary,Omnivore,2000,Greek yogurt with berries and granola,Chicken salad sandwich on whole wheat bread,Turkey chili with whole grain bread,Popcorn with a sprinkle of nutritional yeast
23,Female,172,68,Moderately Active,Vegetarian,1800,Scrambled eggs with whole grain toast,Quinoa salad with roasted vegetables and chickpeas,Lentil soup with whole grain bread,Trail mix with nuts and seeds
48,Male,178,80,Lightly Active,Vegan,1800,Overnight oats with berries and chia seeds,Black bean burger on a whole wheat bun with salad,Lentil stew with vegetables and brown rice,Fruit with almond butter
25,Male,180,80,Moderately Active,Omnivore,2200,Greek Yogurt with Berries and Nuts,Tuna Salad Sandwich on Whole Wheat Bread,Chicken Stir-Fry with Brown Rice,Apple with Peanut Butter
32,Female,165,65,Lightly Active,Vegetarian,2000,Tofu Scramble with Avocado Toast,Quinoa Salad with Grilled Vegetables,Lentil Soup with Whole Wheat Bread,Mixed Nuts and Dried Fruits
48,Male,175,95,Very Active,Omnivore,2800,Oatmeal with Protein Powder and Berries,Chicken Breast with Brown Rice and Steamed Vegetables,Salmon with Roasted Sweet Potatoes,Yogurt Parfait with Granola
55,Female,160,70,Sedentary,Vegan,1800,Tofu Scramble with Whole Wheat Toast,Lentil and Vegetable Curry with Brown Rice,Black Bean Burgers on Whole Wheat Buns,Fruit Salad with Coconut Yogurt
28,Male,190,90,Moderately Active,Omnivore,2800,Eggs with Whole Wheat Toast and Avocado,Chicken and Vegetable Wrap on Whole Wheat Tortilla,Grilled Steak with Sweet Potato Fries,Protein Shake with Banana
62,Male,170,85,Lightly Active,Vegan,1800,Tofu Scramble with Whole Wheat Toast,Lentil and Vegetable Curry with Brown Rice,Black Bean Burgers on Whole Wheat Buns,Fruit Salad with Coconut Yogurt
35,Female,170,75,Very Active,Vegetarian,2400,Greek Yogurt with Berries and Nuts,Quinoa Salad with Grilled Vegetables,Lentil Soup with Whole Wheat Bread,Mixed Nuts and Dried Fruits
22,Female,160,55,Sedentary,Vegan,1600,Tofu Scramble with Whole Wheat Toast,Lentil and Vegetable Curry with Brown Rice,Black Bean Burgers on Whole Wheat Buns,Fruit Salad with Coconut Yogurt
40,Male,185,100,Moderately Active,Omnivore,2500,Oatmeal with Protein Powder and Berries,Chicken Breast with Brown Rice and Steamed Vegetables,Salmon with Roasted Sweet Potatoes,Yogurt Parfait with Granola
29,Female,175,85,Very Active,Vegetarian,2600,Greek Yogurt with Berries and Nuts,Quinoa Salad with Grilled Vegetables,Lentil Soup with Whole Wheat Bread,Mixed Nuts and Dried Fruits
25,Male,180,80,Moderately Active,Omnivore,3000,Oatmeal with protein powder and berries,Chicken breast with brown rice and vegetables,Salmon with roasted sweet potatoes and broccoli,Greek yogurt with almonds and fruit
38,Female,165,65,Lightly Active,Vegetarian,1800,Tofu scramble with whole grain toast and avocado,Lentil soup with whole grain bread,Chickpea curry with brown rice,Fruit and nut mix
55,Male,175,90,Sedentary,Omnivore,2200,Eggs with whole wheat toast and fruit,Tuna salad sandwich on whole grain bread,Chicken stir-fry with brown rice,Apple with peanut butter
62,Female,160,70,Moderately Active,Vegan,2000,Tofu scramble with whole grain toast and avocado,Lentil soup with whole grain bread,Chickpea curry with brown rice,Fruit and nut mix
28,Male,190,100,Very Active,Omnivore,3500,Greek yogurt with granola and berries,Chicken breast with brown rice and vegetables,Steak with sweet potato fries and mixed greens,Protein shake
42,Female,170,75,Lightly Active,Vegan,1700,Tofu scramble with whole grain toast and avocado,Lentil soup with whole grain bread,Chickpea curry with brown rice,Fruit and nut mix
68,Male,170,85,Sedentary,Omnivore,2000,Eggs with whole wheat toast and fruit,Tuna salad sandwich on whole grain bread,Chicken stir-fry with brown rice,Apple with peanut butter
22,Female,165,55,Very Active,Vegan,2500,Tofu scramble with whole grain toast and avocado,Lentil soup with whole grain bread,Chickpea curry with brown rice,Fruit and nut mix
35,Male,185,95,Moderately Active,Omnivore,2500,Oatmeal with protein powder and berries,Chicken breast with brown rice and vegetables,Salmon with roasted sweet potatoes and broccoli,Greek yogurt with almonds and fruit
58,Female,155,60,Sedentary,Vegan,1800,Tofu scramble with whole grain toast and avocado,Lentil soup with whole grain bread,Chickpea curry with brown rice,Fruit and nut mix
25,Female,165,55,Lightly Active,Omnivore,1800,Greek yogurt with berries and granola,Chicken salad sandwich on whole grain bread with a side of fruit,Salmon with roasted vegetables and brown rice,Trail mix
32,Male,180,80,Moderately Active,Omnivore,2800,Scrambled eggs with whole wheat toast and avocado,Chicken stir-fry with brown rice,Steak with baked potato and broccoli,Protein shake
58,Female,160,70,Sedentary,Vegetarian,1500,Oatmeal with fruit and nuts,Lentil soup with whole wheat bread,Tofu stir-fry with brown rice,Fruit and yogurt
38,Male,190,95,Very Active,Omnivore,3200,Pancakes with fruit and syrup,Chicken breast with quinoa and vegetables,Beef with sweet potato and green beans,Protein bar
22,Female,170,60,Lightly Active,Vegan,2000,Tofu scramble with vegan toast and avocado,Vegan chili with brown rice,Lentil pasta with vegan pesto sauce,Banana with peanut butter
65,Male,175,85,Sedentary,Omnivore,1700,Fruit salad with yogurt,Tuna salad sandwich on whole grain bread with a side of salad,Baked chicken with roasted vegetables,Mixed nuts and dried fruit
40,Female,168,65,Moderately Active,Vegetarian,2200,Scrambled eggs with whole wheat toast and spinach,Chickpea salad sandwich on whole grain bread,Lentil stew with brown rice,Hummus and veggie sticks
28,Male,185,90,Very Active,Vegan,3000,Tofu scramble with vegan toast and avocado,Vegan lentil burger with sweet potato fries,Tofu stir-fry with brown rice,Trail mix with dried fruit
52,Female,158,62,Sedentary,Vegan,1400,Oatmeal with fruit and nuts,Vegan chili with whole wheat bread,Tofu stir-fry with brown rice,Fruit and yogurt
35,Male,178,75,Moderately Active,Omnivore,2500,Greek yogurt with granola and fruit,Tuna salad sandwich on whole grain bread with a side of salad,Chicken breast with quinoa and vegetables,Protein bar
25,Male,180,80,Moderately Active,Omnivore,2200,Oatmeal with berries and nuts,Chicken breast salad with whole-wheat bread,Salmon with roasted vegetables,Greek yogurt with fruit
35,Female,165,65,Lightly Active,Vegetarian,1800,Tofu scramble with whole-wheat toast,Vegetarian chili with brown rice,Lentil soup with whole-wheat bread,Trail mix
55,Female,160,70,Sedentary,Vegan,1500,Tofu breakfast burrito,Lentil and vegetable curry with brown rice,Black bean burgers with sweet potato fries,Fruit and nut smoothie
40,Male,190,95,Very Active,Omnivore,3000,Scrambled eggs with whole-wheat toast,Chicken and vegetable stir-fry,Steak with sweet potato and broccoli,Protein shake
28,Female,170,55,Lightly Active,Vegan,1800,Overnight oats with fruit and nuts,Lentil and vegetable curry with brown rice,Chickpea pasta with marinara sauce,Hummus and vegetable sticks
62,Male,175,85,Moderately Active,Omnivore,2000,Greek yogurt with granola and fruit,Chicken salad with whole-wheat bread,Turkey chili with brown rice,Trail mix
32,Female,168,60,Very Active,Vegetarian,2400,Scrambled eggs with whole-wheat toast,Vegetarian chili with brown rice,Lentil and vegetable curry with brown rice,Fruit and nut smoothie
21,Male,185,88,Sedentary,Vegan,1800,Tofu breakfast burrito,Lentil and vegetable curry with brown rice,Black bean burgers with sweet potato fries,Hummus and vegetable sticks
48,Male,178,90,Moderately Active,Omnivore,2400,Oatmeal with berries and nuts,Chicken breast salad with whole-wheat bread,Salmon with roasted vegetables,Greek yogurt with fruit
38,Female,172,75,Lightly Active,Vegan,1600,Overnight oats with fruit and nuts,Lentil and vegetable curry with brown rice,Chickpea pasta with marinara sauce,Fruit and nut smoothie
25,Male,180,85,Moderately Active,Omnivore,2200,Greek yogurt with berries and granola,Chicken salad sandwich on whole-wheat bread with a side salad,Salmon with roasted vegetables,Apple slices with peanut butter
38,Female,165,62,Lightly Active,Vegan,1800,Tofu scramble with veggies and avocado toast,Lentil soup with whole-wheat bread,Vegan chili with brown rice,Trail mix
55,Female,160,70,Sedentary,Vegetarian,1600,Oatmeal with fruit and nuts,Black bean burger on a whole-wheat bun with a side salad,Lentil and vegetable curry,Fruit and yogurt
28,Male,190,95,Very Active,Omnivore,3000,Scrambled eggs with whole-wheat toast and fruit,Chicken stir-fry with brown rice,Steak with sweet potato fries,Protein shake
62,Male,175,80,Lightly Active,Omnivore,2000,Breakfast burrito with beans and veggies,Tuna salad sandwich on whole-wheat bread,Chicken breast with roasted vegetables,Fruit and cheese
32,Female,170,68,Moderately Active,Vegan,2200,Tofu scramble with veggies and avocado toast,Lentil and veggie stir-fry with brown rice,Vegan burgers with sweet potato fries,Nuts and seeds
21,Female,168,55,Sedentary,Vegan,1500,Overnight oats with fruit and nuts,Vegan chili with brown rice,Lentil soup with whole-wheat bread,Fruit and yogurt
40,Male,185,90,Very Active,Omnivore,3200,Scrambled eggs with whole-wheat toast and fruit,Chicken breast with brown rice and vegetables,Steak with baked potato,Protein shake
27,Female,172,75,Moderately Active,Vegetarian,1900,Greek yogurt with fruit and granola,Black bean burger on a whole-wheat bun with a side salad,Lentil and vegetable stew,Trail mix
19,Male,183,78,Lightly Active,Omnivore,2000,Oatmeal with fruit and nuts,Turkey and veggie wrap with whole-wheat tortilla,Chicken breast with broccoli and sweet potato,Fruit and yogurt
25,Male,180,85,Moderately Active,Omnivore,2200,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Greek yogurt with fruit
32,Female,165,60,Lightly Active,Vegan,2000,Tofu scramble with vegetables,Lentil soup with whole grain bread,Chickpea curry with brown rice,Trail mix with nuts and seeds
55,Male,175,90,Sedentary,Omnivore,1800,Eggs with whole grain toast,Turkey sandwich on whole grain bread,Chicken stir-fry with brown rice,Fruit with yogurt
68,Female,160,70,Sedentary,Vegetarian,1600,Yogurt with fruit and granola,Vegetarian chili with whole grain bread,Lentil pasta with vegetables,Mixed nuts and seeds
47,Male,168,115,Sedentary,Omnivore,2368,Vegan pancakes with syrup,Veggie stir-fry,Tofu and quinoa bowl,Hummus and veggies
77,Male,161,106,Sedentary,Vegan,2707,Vegan pancakes with syrup,Lentil soup with bread,Vegetable curry,Protein bar
51,Female,162,72,Moderately Active,Vegan,1602,Fruit and yogurt parfait,Grilled chicken salad,Beef and broccoli stir-fry,Greek yogurt with nuts
50,Female,188,61,Moderately Active,Vegetarian,1886,Fruit and yogurt parfait,Turkey sandwich,Baked salmon with veggies,Apple with almond butter
77,Male,185,101,Moderately Active,Vegetarian,2846,Fruit and yogurt parfait,Avocado and chickpea salad,Beef and broccoli stir-fry,Protein bar
53,Male,196,62,Lightly Active,Vegetarian,1802,Oatmeal with berries,Turkey sandwich,Baked salmon with veggies,Trail mix
79,Female,156,96,Sedentary,Vegan,2275,Egg and spinach wrap,Avocado and chickpea salad,Beef and broccoli stir-fry,Apple with almond butter
65,Female,169,59,Sedentary,Vegetarian,1954,Vegan pancakes with syrup,Turkey sandwich,Tofu and quinoa bowl,Hummus and veggies
25,Male,183,53,Sedentary,Vegetarian,1636,Smoothie with protein powder,Veggie stir-fry,Baked salmon with veggies,Greek yogurt with nuts
39,Male,153,58,Moderately Active,Omnivore,2619,Fruit and yogurt parfait,Avocado and chickpea salad,Baked salmon with veggies,Trail mix
53,Female,194,60,Moderately Active,Vegan,2912,Oatmeal with berries,Grilled chicken salad,Vegetable curry,Trail mix
42,Female,198,75,Moderately Active,Vegetarian,1508,Fruit and yogurt parfait,Lentil soup with bread,Beef and broccoli stir-fry,Greek yogurt with nuts
74,Male,184,82,Moderately Active,Vegan,1766,Oatmeal with berries,Turkey sandwich,Tofu and quinoa bowl,Hummus and veggies
72,Male,162,93,Sedentary,Vegan,2286,Vegan pancakes with syrup,Turkey sandwich,Baked salmon with veggies,Hummus and veggies
18,Female,192,112,Moderately Active,Vegan,1616,Oatmeal with berries,Veggie stir-fry,Vegetable curry,Apple with almond butter
51,Male,199,62,Moderately Active,Pescatarian,2229,Oatmeal with berries,Veggie stir-fry,Baked salmon with veggies,Hummus and veggies
70,Female,164,61,Very Active,Pescatarian,1944,Egg and spinach wrap,Turkey sandwich,Tofu and quinoa bowl,Apple with almond butter
53,Male,150,79,Sedentary,Pescatarian,1859,Egg and spinach wrap,Grilled chicken salad,Vegetable curry,Apple with almond butter
59,Female,180,97,Moderately Active,Pescatarian,2289,Oatmeal with berries,Turkey sandwich,Pasta with marinara sauce,Apple with almond butter
46,Male,170,76,Sedentary,Vegan,2953,Vegan pancakes with syrup,Turkey sandwich,Tofu and quinoa bowl,Protein bar
34,Female,177,54,Sedentary,Pescatarian,1650,Vegan pancakes with syrup,Veggie stir-fry,Vegetable curry,Protein bar
44,Male,178,78,Sedentary,Pescatarian,2784,Oatmeal with berries,Lentil soup with bread,Baked salmon with veggies,Greek yogurt with nuts
52,Male,169,101,Lightly Active,Vegan,2466,Egg and spinach wrap,Veggie stir-fry,Vegetable curry,Trail mix
56,Female,169,57,Very Active,Vegan,2189,Vegan pancakes with syrup,Avocado and chickpea salad,Vegetable curry,Trail mix
70,Male,166,54,Sedentary,Pescatarian,2406,Vegan pancakes with syrup,Veggie stir-fry,Pasta with marinara sauce,Trail mix
72,Female,179,58,Moderately Active,Pescatarian,1594,Vegan pancakes with syrup,Turkey sandwich,Beef and broccoli stir-fry,Protein bar
57,Male,163,111,Very Active,Vegan,2336,Smoothie with protein powder,Veggie stir-fry,Pasta with marinara sauce,Trail mix
44,Female,190,107,Moderately Active,Vegetarian,1922,Oatmeal with berries,Turkey sandwich,Baked salmon with veggies,Apple with almond butter
70,Female,150,100,Moderately Active,Pescatarian,1886,Oatmeal with berries,Veggie stir-fry,Vegetable curry,Apple with almond butter
38,Male,197,50,Sedentary,Pescatarian,2754,Egg and spinach wrap,Veggie stir-fry,Beef and broccoli stir-fry,Protein bar
51,Female,152,92,Sedentary,Vegetarian,2243,Fruit and yogurt parfait,Grilled chicken salad,Vegetable curry,Trail mix
21,Female,183,86,Very Active,Pescatarian,1569,Fruit and yogurt parfait,Turkey sandwich,Tofu and quinoa bowl,Apple with almond butter
52,Male,173,71,Moderately Active,Vegan,2702,Vegan pancakes with syrup,Turkey sandwich,Beef and broccoli stir-fry,Protein bar
40,Female,178,88,Sedentary,Pescatarian,1696,Vegan pancakes with syrup,Veggie stir-fry,Baked salmon with veggies,Greek yogurt with nuts
61,Male,199,104,Very Active,Vegan,1846,Oatmeal with berries,Turkey sandwich,Tofu and quinoa bowl,Apple with almond butter
36,Male,171,81,Lightly Active,Vegan,2262,Vegan pancakes with syrup,Turkey sandwich,Vegetable curry,Hummus and veggies
70,Female,164,79,Very Active,Omnivore,2482,Oatmeal with berries,Grilled chicken salad,Pasta with marinara sauce,Apple with almond butter
20,Male,196,80,Lightly Active,Pescatarian,2786,Oatmeal with berries,Avocado and chickpea salad,Pasta with marinara sauce,Trail mix
36,Female,152,64,Lightly Active,Vegetarian,2292,Egg and spinach wrap,Veggie stir-fry,Vegetable curry,Hummus and veggies
40,Male,187,81,Very Active,Pescatarian,2111,Smoothie with protein powder,Veggie stir-fry,Baked salmon with veggies,Trail mix
61,Female,167,96,Moderately Active,Omnivore,2327,Vegan pancakes with syrup,Turkey sandwich,Pasta with marinara sauce,Protein bar
77,Male,184,74,Very Active,Omnivore,2682,Fruit and yogurt parfait,Lentil soup with bread,Baked salmon with veggies,Trail mix
63,Female,177,113,Very Active,Vegan,1703,Fruit and yogurt parfait,Lentil soup with bread,Pasta with marinara sauce,Trail mix
37,Male,154,78,Very Active,Omnivore,2562,Egg and spinach wrap,Veggie stir-fry,Beef and broccoli stir-fry,Greek yogurt with nuts
41,Male,191,97,Moderately Active,Omnivore,1537,Smoothie with protein powder,Lentil soup with bread,Baked salmon with veggies,Trail mix
69,Female,180,112,Very Active,Omnivore,2241,Fruit and yogurt parfait,Avocado and chickpea salad,Tofu and quinoa bowl,Hummus and veggies
56,Female,177,56,Sedentary,Omnivore,2489,Egg and spinach wrap,Avocado and chickpea salad,Beef and broccoli stir-fry,Greek yogurt with nuts
74,Female,187,82,Moderately Active,Vegan,2928,Oatmeal with berries,Lentil soup with bread,Beef and broccoli stir-fry,Trail mix
25,Male,188,117,Very Active,Pescatarian,2352,Oatmeal with berries,Lentil soup with bread,Tofu and quinoa bowl,Trail mix
44,Male,171,104,Moderately Active,Vegan,2383,Smoothie with protein powder,Grilled chicken salad,Tofu and quinoa bowl,Apple with almond butter
69,Female,165,110,Lightly Active,Vegetarian,2611,Smoothie with protein powder,Lentil soup with bread,Baked salmon with veggies,Greek yogurt with nuts
26,Female,166,68,Moderately Active,Vegan,1599,Oatmeal with berries,Grilled chicken salad,Baked salmon with veggies,Apple with almond butter
26,Male,192,82,Lightly Active,Omnivore,2123,Smoothie with protein powder,Turkey sandwich,Pasta with marinara sauce,Greek yogurt with nuts
46,Female,188,50,Sedentary,Omnivore,2104,Oatmeal with berries,Grilled chicken salad,Baked salmon with veggies,Apple with almond butter
61,Male,192,73,Moderately Active,Pescatarian,1604,Fruit and yogurt parfait,Turkey sandwich,Beef and broccoli stir-fry,Protein bar
31,Male,169,93,Very Active,Vegan,1656,Vegan pancakes with syrup,Veggie stir-fry,Baked salmon with veggies,Trail mix
78,Female,169,96,Lightly Active,Pescatarian,2016,Fruit and yogurt parfait,Turkey sandwich,Baked salmon with veggies,Hummus and veggies
21,Female,184,96,Sedentary,Omnivore,2174,Smoothie with protein powder,Lentil soup with bread,Pasta with marinara sauce,Hummus and veggies
58,Male,154,110,Very Active,Pescatarian,2061,Oatmeal with berries,Lentil soup with bread,Beef and broccoli stir-fry,Trail mix
30,Female,166,92,Lightly Active,Vegan,2415,Egg and spinach wrap,Avocado and chickpea salad,Vegetable curry,Protein bar
53,Male,187,119,Moderately Active,Vegan,2817,Vegan pancakes with syrup,Lentil soup with bread,Beef and broccoli stir-fry,Hummus and veggies
62,Male,170,117,Very Active,Vegan,2902,Smoothie with protein powder,Avocado and chickpea salad,Pasta with marinara sauce,Apple with almond butter
24,Female,163,105,Very Active,Omnivore,1673,Oatmeal with berries,Veggie stir-fry,Tofu and quinoa bowl,Hummus and veggies
58,Female,171,87,Lightly Active,Vegetarian,1657,Egg and spinach wrap,Avocado and chickpea salad,Baked salmon with veggies,Apple with almond butter
67,Female,172,115,Lightly Active,Omnivore,2784,Egg and spinach wrap,Veggie stir-fry,Vegetable curry,Hummus and veggies
48,Male,154,52,Moderately Active,Vegetarian,2287,Egg and spinach wrap,Veggie stir-fry,Vegetable curry,Trail mix
29,Female,192,100,Moderately Active,Vegan,2576,Smoothie with protein powder,Veggie stir-fry,Tofu and quinoa bowl,Apple with almond butter
75,Male,189,88,Sedentary,Vegetarian,2372,Oatmeal with berries,Turkey sandwich,Baked salmon with veggies,Trail mix
26,Male,185,93,Lightly Active,Pescatarian,2606,Fruit and yogurt parfait,Lentil soup with bread,Pasta with marinara sauce,Apple with almond butter
60,Female,191,95,Sedentary,Vegan,1856,Smoothie with protein powder,Grilled chicken salad,Baked salmon with veggies,Trail mix
36,Female,192,107,Very Active,Pescatarian,2686,Oatmeal with berries,Avocado and chickpea salad,Beef and broccoli stir-fry,Protein bar
69,Female,183,71,Moderately Active,Pescatarian,2798,Vegan pancakes with syrup,Turkey sandwich,Pasta with marinara sauce,Apple with almond butter
66,Male,164,100,Sedentary,Vegetarian,2925,Oatmeal with berries,Avocado and chickpea salad,Tofu and quinoa bowl,Apple with almond butter
41,Male,167,58,Moderately Active,Pescatarian,2826,Fruit and yogurt parfait,Turkey sandwich,Pasta with marinara sauce,Protein bar
53,Female,189,111,Sedentary,Pescatarian,2180,Fruit and yogurt parfait,Avocado and chickpea salad,Tofu and quinoa bowl,Protein bar
45,Female,176,110,Lightly Active,Pescatarian,1839,Vegan pancakes with syrup,Lentil soup with bread,Tofu and quinoa bowl,Trail mix
24,Female,187,97,Sedentary,Vegetarian,1817,Oatmeal with berries,Lentil soup with bread,Vegetable curry,Greek yogurt with nuts
32,Male,157,70,Very Active,Vegan,1598,Vegan pancakes with syrup,Grilled chicken salad,Beef and broccoli stir-fry,Trail mix
46,Female,159,116,Sedentary,Omnivore,2764,Vegan pancakes with syrup,Avocado and chickpea salad,Vegetable curry,Hummus and veggies
52,Female,179,98,Moderately Active,Vegetarian,1806,Fruit and yogurt parfait,Grilled chicken salad,Pasta with marinara sauce,Protein bar
73,Male,191,98,Sedentary,Vegetarian,1567,Oatmeal with berries,Grilled chicken salad,Pasta with marinara sauce,Hummus and veggies
31,Male,158,89,Very Active,Vegan,1859,Smoothie with protein powder,Avocado and chickpea salad,Beef and broccoli stir-fry,Apple with almond butter
47,Female,164,77,Moderately Active,Pescatarian,2704,Egg and spinach wrap,Avocado and chickpea salad,Beef and broccoli stir-fry,Apple with almond butter
42,Female,162,103,Moderately Active,Vegan,2500,Vegan pancakes with syrup,Lentil soup with bread,Tofu and quinoa bowl,Trail mix
53,Female,161,108,Lightly Active,Omnivore,2158,Vegan pancakes with syrup,Veggie stir-fry,Baked salmon with veggies,Protein bar
31,Female,176,91,Very Active,Omnivore,1962,Fruit and yogurt parfait,Turkey sandwich,Tofu and quinoa bowl,Protein bar
55,Female,198,75,Sedentary,Vegan,2624,Egg and spinach wrap,Avocado and chickpea salad,Beef and broccoli stir-fry,Hummus and veggies
47,Male,170,95,Moderately Active,Vegetarian,2003,Fruit and yogurt parfait,Grilled chicken salad,Baked salmon with veggies,Greek yogurt with nuts
45,Female,155,73,Lightly Active,Vegan,2114,Fruit and yogurt parfait,Lentil soup with bread,Tofu and quinoa bowl,Apple with almond butter
38,Female,160,106,Sedentary,Vegan,1587,Fruit and yogurt parfait,Lentil soup with bread,Beef and broccoli stir-fry,Apple with almond butter
24,Female,188,77,Very Active,Vegan,2981,Vegan pancakes with syrup,Veggie stir-fry,Tofu and quinoa bowl,Greek yogurt with nuts
79,Male,158,102,Very Active,Pescatarian,1566,Fruit and yogurt parfait,Veggie stir-fry,Pasta with marinara sauce,Protein bar
74,Female,194,110,Very Active,Vegan,2210,Smoothie with protein powder,Lentil soup with bread,Vegetable curry,Greek yogurt with nuts
20,Male,185,95,Very Active,Pescatarian,2342,Smoothie with protein powder,Avocado and chickpea salad,Baked salmon with veggies,Apple with almond butter
41,Male,193,61,Lightly Active,Vegetarian,2857,Oatmeal with berries,Veggie stir-fry,Pasta with marinara sauce,Greek yogurt with nuts
37,Female,170,98,Sedentary,Pescatarian,2428,Smoothie with protein powder,Turkey sandwich,Pasta with marinara sauce,Greek yogurt with nuts
57,Male,198,87,Moderately Active,Vegetarian,2150,Oatmeal with berries,Lentil soup with bread,Vegetable curry,Hummus and veggies
52,Female,187,104,Lightly Active,Omnivore,1975,Fruit and yogurt parfait,Avocado and chickpea salad,Baked salmon with veggies,Protein bar
31,Female,186,113,Lightly Active,Omnivore,1847,Fruit and yogurt parfait,Lentil soup with bread,Pasta with marinara sauce,Greek yogurt with nuts
